num,txt_shot,txt_detail,percent,category
0,เดาใจได้ยาก,มีความลี้ลับและโลกส่วนตัวสูง ชอบทำตามใจตัวเองเป็นที่หนึ่ง มักขัดแย้งกับคนรอบข้างไปซะหมด ขี้รำคาญ หัวดื้อ นอกลู่นอกทางเก่งเหลือเกิน แต่ก็มีความหมายในแง่ดี เลข 0 หมายถึงมีความเชื่อมั่นในตัวเอง สติเฟื่องเรืองปัญญา ชอบคิดประดิษฐ์สิ่งใหม่ ๆ และมีหัวทันยุคทันสมัย ก้าวทันเทคโนโลยีอีกด้วย,0,มีปัญหาด้านการเงิน ความเครียด
1,ความเชื่อมั่น,เป็นผู้นำ มีความเชื่อมั่นในตัวเองสูง มีสติปัญญาดี มีไหวพริบปฏิภาณว่องไว มักมีความทะเยอทะยานที่จะเป็นใหญ่เป็นโต กล้าหาญ กล้าเสี่ยง ชอบออกหน้า ถือความคิดอ่านตนเป็นใหญ่ ใจร้อน เป็นผู้นำคน รักเกียรติ รักศักดิ์ศรี เป็นที่เคารพนับถือของคนทั่วไป ใจคอเด็ดเดี่ยว คิดการเช่นไรมักจะรีบทำ ตัดสินใจได้รวดเร็ว ไม่โลเล มั่นคง ไม่เกรงกลัวต่ออุปสรรคต่างๆ ชีวิตมักจะมีการเดินทาง เป็นเลขของเจ้าชะตะตาที่มีความแข็งแรงมีพลังร้อนแรง ไม่มีขีดจำกัด ชีวิตประสบความสำเร็จดี มีชื่อเสียง มีทรัพย์สมบัติ มีความสุข มักได้ดีด้วยปัญญาความสามารถของตนเอง เหมาะกับการทำงานด้านรับราชการ ทหาร ตำรวจ เป็นเจ้าคนนายคน เป็นเจ้าของกิจการ ,0,ประมาท ชีวิตอุปสรรค
2,ความจินตนาการ,เป็นคนมีจินตนาการสูง ช่างคิดช่างฝัน มีความคิดสร้างสรรค์ ปรับตัวง่ายได้ทุกสภาวะ เข้าใจความรู้สึกของผู้อื่น มองโลกในแง่ดี เบิกบาน ร่าเริง สดใส เป็นคนอบอุ่นสุภาพ ช่างเอาอกเอาใจ มีความเมตตากรุณาเห็นอกเห็นใจผู้อื่น โอบอ้อมอารี ใครอยู่ใกล้แล้วจะมีความสุข มีความรับผิดชอบต่อครอบครัว รักญาติพี่น้อง รักความมีระเบียบเรียบร้อย พอใจในความเป็นอยู่ อบรมง่าย มองผู้อื่นในแง่ดี เกิดศรัทธาได้ง่าย ขี้เกรงใจ มีความยืดหยุ่นผ่อนปรนได้มาก ด้านเสียคือ บางครั้งคิดมาก คิดเล็กคิดน้อย ขี้น้อยใจ อารมณ์เปลี่ยนแปลงง่าย ชอบชีวิตอิสระ เป็นคนอ่อนไหว แต่เมื่อถึงคราวมีเหตุการณ์ที่ไม่คาดคิด จะควบคุมสติได้ดี จะกลับกลายเป็นมีความกล้าหาญ เข้มแข็ง พลิกผันสถานการณ์ได้ดี เหมาะที่จะทำงานเกี่ยวกับศิลปะ ศิลปิน ดีไซน์เนอร์ นักออกแบบ สถาปนิก ครีเอทีฟ ผู้ที่ต้องใช้ศาสตร์และศิลปะมาประกอบอาชีพจะรุ่งเรือง,0,มีปัญหาด้านการเงิน ปัญหาด้านความรัก
3,ความกล้าหาญ,รักการต่อสู้ ชอบการแข่งขัน เก่งกล้าสามารถ ไม่ค่อยยอมแพ้ใคร ถือทิฐิแพ้ไม่เป็น และอาจหมายถึงการชอบต่อสู้ในชั้นเชิงธุรกิจหน้าที่การงาน ขับเคี่ยวกันด้วยชั้นเชิงธุรกิจต่างๆ เรื่องความรักก็เช่นเดียวกัน จีบใครชนะจะภูมิใจมากๆ คุณสมบัติด้านดีของดาวอังคารคือ ขยันขันแข็ง รักการต่อสู้ อดทน แต่ไม่อดกลั้น บากบั่น มีความพยายามสูง ไม่มีเล่ห์กล สุจริต ใจเปิดกว้าง ซื่อสัตย์ โกรธง่ายหายเร็ว ตัดสินใจฉับไว แกล้วกล้า คุณสมบัติด้านเสียคือ ตัดสินใจรวดเร็วขาดการไตร่ตรอง มักพูดจาขวานผ่าซากแบบมะนาวไม่มีน้ำ พูดจาห้วนๆ ชอบการยกยอปอปั้น หูเบา หงุดหงิดง่าย อารมณ์เสียง่าย โกรธรุนแรง แข็งกระด้าง หุนหันพลันแล่น สร้างสรรค์ในทางหักโค่นทำลาย ดื้อดึง ถือตนเป็นใหญ่ ชอบเอาชนะ ชอบการโต้เถียง อย่างไรก็ดี ชีวิตจะประสบความสำเร็จได้ แต่มักต้องเหนื่อยและต่อสู้มากจึงจะสำเร็จ,0,ประมาท ปัญหาด้านสุขภาพ
4,สติปัญญา,มักเป็นคนเฉลียวฉลาด มีปฏิภาณไหวพริบดี ทันเกมคนอื่น ถูกหลอกยาก เอาตัวรอดได้ดีมาก รู้จักวางตัว มีมนุษยสัมพันธ์เป็นเลิศ เข้าสังคมเก่ง มีวาทะศิลป์ในการโน้มน้าวจิตใจคน ชอบพูด ชอบคุย มักเดินทางบ่อย ชีวิตจะประสบความสำเร็จดี แต่บางครั้งอาจเหนื่อยกับการติดต่อสื่อสาร คนดาวพุธบางครั้งอาจเป็นคนรวนเร ไม่แน่นอน ตัดสินใจไม่เด็ดขาด,0,ชีวิตอุปสรรค
5,สติปัญญาทางธรรมมะ,บุคคลที่ตกอยู่ใต้อิทธิพลของเลขนี้ มักเป็นคนมีคุณธรรม มีจริยธรรมนำใจ ชอบเรียนรู้อยู่เสมอ มีความสุขุมรอบคอบ รักความยุติธรรม ไม่ทำร้ายและเอาเปรียบใคร คงแก่เรียน รักการศึกษาหาความรู้อยู่เสมอ มีการศึกษาสูง สามารถจบถึงปริญญาเอกได้ถ้าต้องการ และด้วยปัญญาที่มีอยู่จะทำให้ชีวิตประสบความสำเร็จ ประกอบการงานใดๆ ก็มักจะราบรื่นรุ่งเรือง มักแก้ปัญหาด้วยสติมากกว่าการใช้กำลัง คนอื่นสามารถโน้มน้าวจิตใจได้ยาก คนเลข ๕ มักจะชอบเรื่องศาสนา สิ่งศักดิ์สิทธิ์ เป็นคนมองคนในแง่ดี ชอบสันโดษ,0,ปัญหาด้านสุขภาพ
6,ศิลปะวิทยาการ,มีเสน่ห์ รักสวยรักงาม มีจินตนาการความฝัน ชอบศิลปะ บุคคลที่ตกอยู่ใต้อิทธิพลของเลขนี้ มักประสบความสำเร็จอย่างงดงาม มีเสน่ห์ชวนหลงใหล รักสวยรักงามเป็นชีวิตจิตใจ มีรสนิยมในการแต่งตัว มักจะคำนึงถึงภาพลักษณ์ของตนเองเป็นหลัก มักใช้ของที่หรูหราราคาแพง เจ้าสำราญ ชอบความสนุกสนานบันเทิง รักสบาย ไม่ชอบงานที่ต้องใช้แรงงาน นอกจากนี้ยังเป็นเลขโภคทรัพย์ จะส่งเสริมเงินทองไหลมาเทมา มีเสน่ห์ ชื่อเสียง ทรัพย์สินต่างๆมักจะหามาได้โดยง่าย,0,มีปัญหาด้านการเงิน ปัญหาด้านความรัก
7,ความทุกข์โศก,มักมีความทรหดอดทนในการต่อสู้ฝ่าฟันกับอุปสรรค บากบั่น มุมานะ มีวิริยะอุตสาหะ มักเป็นคนซื่อสัตย์มั่นคง ประหยัดมัธยัสถ์ มีความละเอียดรอบคอบ รับผิดชอบ มีระเบียบวินัยและเคร่งครัด มักเอาจริงเอาจังกับหน้าที่การงาน มีความเด็ดขาด แน่นอน ชีวิตมักไม่ได้อะไรมาโดยง่าย แต่เมื่อได้มาแล้วจะคงทน เสถียร หากประสงค์สิ่งใด มักจะต้องใช้ความพยายามและอดทนอย่างมากและยาวนาน อุปนิสัย มักเป็นคนค่อนข้างดื้อรั้น ถือเอาความคิดตนเป็นใหญ่ มีความคิดเห็นเป็นของตัวเอง คนอื่นจะมาโน้มน้าวค่อนข้างยาก แต่มีเรื่องดีคือ มีสติปัญญาและความอดทนเป็นเลิศ,0,ชีวิตอุปสรรค ปัญหาด้านสุขภาพ
8,ความลุ่มหลวง มัวเมา,มีแนวโน้มจะถูกชักจูงไปในทางเสื่อมได้ง่าย มักชอบการพนัน อบายมุขทุกชนิด ชอบเที่ยวกลางคืน อุปนิสัยโมโหง่าย หงุดหงิดเป็นนิจ ชอบการแข่งขันช่วงชิงโดยเฉพาะเรื่องความรัก รักแล้วหลงต้องเอามาครอบครองให้ได้ ความรักและการงานมักมีอุปสรรค ถูกกลั่นแกล้ง แต่ข้อดีคือ เป็นคนใจกว้าง มีน้ำใจกับเพื่อนฝูง เป็นคนฉลาดเฉลียว แต่เป็นความฉลาดแบบแกมโกง มีเล่ห์เหลี่ยม ทันคน กล้าเสี่ยง กล้าได้กล้าเสีย เป็นความกล้าแบบมีชั้นเชิง รู้จักพลิกแพลง แก้ไขปัญหาเฉพาะหน้าได้ดี ไหวพริบดี ปรับตัวและเอาตัวรอดได้เก่ง ทะเยอทะยาน วิเคราะห์สถานการณ์ได้รวดเร็ว มีศรัทธาในตัวเองสูง ชักจูงโน้มน้าวผู้อื่นได้ดี ได้น่าเชื่อถือ,0,ความเครียด ปัญหาด้านสุขภาพ
9,สิ่งศักดิ์สิทธิ์คุ้มครอง,เป็นมงคลมาก อิทธิพลของเลขนี้ จะช่วยให้เจ้าชะตาได้พลังจากสิ่งที่มองไม่เห็นมาช่วยดูแลคุ้มครอง มีอายุยืนมั่นคง แคล้วคลาดจากภยันตราย มีความคิดรวดเร็วว่องไว มีลางสังหรณ์ที่แม่นยำ เลื่อมใส ศรัทธา สนใจในสิ่งลี้ลับ เลขนี้ทำให้อยู่สบาย ชะตาชีวิตราบรื่น ช่วยทำให้กิจการงานใดๆประสบผลสำเร็จ ได้รับโชคลาภแบบไม่คาดฝัน ถ้าสวดมนตร์บ่อยๆและแผ่เมตตาบารมี พลังสวดมนตร์บำบัดจะช่วยให้พลังของสิ่งที่มองไม่เห็นช่วยให้คุณได้มากขึ้นไปอีก,0,ชีวิตอุปสรรค ความเครียด ปัญหาด้านสุขภาพ
